Activity Year, Respondent ID, Agency Code, Federal Tax ID, Respondent Name, Respondent Mailing Address, Respondent City, Respondent State, Respondent ZIP Code, Parent Name, Parent Address, Parent City, Parent State, Parent ZIP Code, Respondent Name (Panel), Respondent City (Panel), Respondent State (Panel), Assets, Other Lender Code, Region Code, LAR Count, Validity Error
2015,0000000046,1,31-4247738,FIRST NATIONAL BANK OF MCCONNE,86 N. KENNEBEC AVENUE  PO BOX 208,MCCONNELSVILLE,OH,43756-0208,FNB SHARES  INC.,PO BOX 208  86 N. KENNEBEC AVENUE,MCCONNELSVILLE,OH,43756,FIRST NB,MCCONNELSVILLE,OH,140444,0,3,109,N
2015,0000000047,1,35-0704860,FIRST FINANCIAL BANK NA,1401 S 3RD ST,TERRE HAUTE,IN,47802,FIRST FINANCIAL CORPORATION,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,FIRST FNCL BK NA,TERRE HAUTE,IN,2904575,0,3,2540,N
2015,0000000056,1,31-0308605,FIRST FINANCIAL BANK NA,255 EAST FIFTH STREET SUITE #900,CINCINNATI,OH,45202,FIRST FINANCIAL BANCORP,255 EAST FIFTH STREET SUITE 900,CINCINNATI,OH,45202,FIRST FNCL BK NA,HAMILTON,OH,7197993,0,3,2841,N
2015,0000000086,1,31-0294798,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET,GERMANTOWN,OH,45327-1349,,,,,,FIRST NB,GERMANTOWN,OH,51910,0,3,45,N
2015,0000000182,1,48-0212120,EXCHANGE NATIONAL BANK & TRUST,600 COMMERCIAL  PO BOX 189,ATCHISON,KS,66002,,,,,,EXCHANGE NB&TC CO,ATCHISON,KS,410405,0,4,190,N
2015,0000000324,1,23-0916895,FIRST NATIONAL BANK AND TRUST,40 SOUTH STATE ST,NEWTOWN,PA,18940,,,,,,FIRST NB&TC NEWTOWN,NEWTOWN,PA,827291,0,1,175,N
2015,0000000325,1,24-0558097,FNB BANK  NA,354 MILL STREET,DANVILLE,PA,17821,FULTON FINANCIAL CORPORATION,ONE PENN SQUARE,LANCASTER,PA,17604,FNB BK NA,DANVILLE,PA,341615,0,1,338,N
2015,0000000347,1,36-1078900,THE 1ST NATIONAL BANK OF LACON,PO BOX 308,LACON,IL,61540,,,,,,FIRST NB LACON,LACON,IL,64392,0,3,30,N
2015,0000000446,1,01-0067810,THE FIRST  N.A.,P.O. BOX 940,DAMARISCOTTA,ME,04543,THE FIRST BANCORP  INC.,PO BOX 940,DAMARISCOTTA,ME,04543,FIRST NA,DAMARISCOTTA,ME,1448154,0,1,806,N
2015,0000000497,1,06-0343370,THE FIRST NATIONAL BANK OF SUF,30 BRIDGE STREET  P.O. BOX 96,SUFFIELD,CT,06078,,,,,,FIRST NB,SUFFIELD,CT,248788,0,1,244,N
2015,0000000644,1,24-0614415,THE HONESDALE NATIONAL BANK,733 MAIN ST  PO BOX 350,HONESDALE,PA,18431,,,,,,HONESDALE NB,HONESDALE,PA,593043,0,1,578,N
2015,0000000661,1,23-0534545,DNB FIRST  NA,4 BRANDYWINE AVE,DOWNINGTOWN,PA,19335,,,,,,DNB FIRST NA,DOWNINGTOWN,PA,723265,0,1,179,N
2015,0000000676,1,04-2832782,NATIONAL GRAND BANK,91 PLEASANT STREET,MARBLEHEAD,MA,01945,,,,,,NATIONAL GRAND BK OF MARBLEH,MARBLEHEAD,MA,286246,0,1,111,N
2015,0000000866,1,04-1620797,THE MILFORD NATIONAL BANK,300 EAST MAIN STREET,MILFORD,MA,01757,MNB BANCORP,300 EAST MAIN STREET,MILFORD,MA,01757,MILFORD NB&TC,MILFORD,MA,290611,0,1,65,N
2015,0000000929,1,14-0913619,THE NATIONAL UNION BANK OF KIN,1 HUDSON STREET,KINDERHOOK,NY,12106,,,,,,NATIONAL UNION BK,KINDERHOOK,NY,373034,0,1,122,N
2015,0000000976,1,14-0984850,PUTNAM COUNTY NATIONAL BANK,PO BOX 10,CARMEL,NY,10512-0010,,,,,,PUTNAM COUNTY NB OF CARMEL,CARMEL,NY,160023,0,1,23,N
2015,0000001027,1,15-0372430,THE LYONS NATIONAL BANK,35 WILLIAM STREET,LYONS,NY,14489,,,,,,LYONS NB,LYONS,NY,806278,0,1,1077,N
2015,0000001083,1,15-0328960,THE FIRST NATL BANK OF GROTON,161 MAIN ST,GROTON,NY,13073,,,,,,FIRST NB OF GROTON,GROTON,NY,150707,0,1,250,N
2015,0000001154,1,36-1588745,FIRST NATIONAL BANK OF OTTAWA,701 LASALLE STREET,OTTAWA,IL,61350,FIRST OTTAWA BANCSHARES,701 LASALLE STREET,OTTAWA,IL,61350,FIRST NB OF OTTAWA,OTTAWA,IL,273113,0,3,345,N
2015,0000001195,1,03-0143997,NATIONAL BANK OF MIDDLEBURY,30 MAIN STREET,MIDDLEBURY,VT,05753,,,,,,NATIONAL BK OF MIDDLEBURY,MIDDLEBURY,VT,319067,0,1,350,N
2015,0000001253,1,14-0486153,BALLSTON SPA NATIONAL BANK,PO BOX 70,BALLSTON SPA,NY,12020,BALLSTON SPA BANCORP  INC.,990 STATE ROUTE 67,BALLSTON SPA,NY,12020,BALLSTON SPA NB,BALLSTON SPA,NY,423867,0,1,364,N
2015,0000001354,1,15-0395735,NBT BANK NA,52 S BROAD ST,NORWICH,NY,13815,NBT BANCORP INC,52 SOUTH BROAD ST,NORWICH,NY,13815,NBT BK NA,NORWICH,NY,7726299,0,1,3630,N
2015,0000001368,1,03-0288082,COMMUNITY NATIONAL BANK,4811 US ROUTE 5,NEWPORT,VT,05855,,,,,,COMMUNITY NB,DERBY,VT,586090,0,1,493,N
2015,0000001398,1,14-0912110,NATIONAL BANK OF COXSACKIE,3 - 7 REED STREET,COXSACKIE,NY,12051,,,,,,NATIONAL BK OF COXSACKIE,COXSACKIE,NY,298129,0,1,209,N
2015,0000001467,1,43-0263025,LANDMARK BANK,801 E BROADWAY,COLUMBIA,MO,65201,,,,,,LANDMARK BK NA,COLUMBIA,MO,2154372,0,4,2635,N
2015,0000001493,1,61-0290000,FIRST SOUTHERN NATIONAL BANK,99 LANCASTER STREET,STANFORD,KY,40484,,,,,,FIRST SOUTHERN NB,LANCASTER,KY,683163,0,3,682,N
2015,0000001750,1,85-0067165,FIRST NATIONAL BANK OF SANTA F,2101 MOUNTAIN ROAD NW SUITE B,ALBUQUERQUE,NM,87104,STRATEGIC GROWTH BANK INCORPOR,201 EAST MAIN ST THIRD FLOOR,EL PASO,TX,79901,FIRST NB OF SANTA FE,ALBUQUERQUE,NM,1721068,0,4,127,N
2015,0000001794,1,41-0519725,FIRST NATIONAL BANK MINNESOTA,500 LONG STREET,MANKATO,MN,56001,,,,,,FIRST NB MN,SAINT PETER,MN,195271,0,3,32,N
2015,0000001926,1,37-0245730,FIRST NATIONAL BANK AND TRUST,P.O. BOX 191  2 KELLI CT,CLINTON,IL,61727,FIRST NATIONAL BANK & TRUST CO,PO BOX 191,CLINTON,IL,61727,FIRST NB&TC,CLINTON,IL,111703,0,3,32,N
2015,0000001950,1,71-0058845,FIRST NATIONAL BANK,600 GARRISON AVENUE,FORT SMITH,AR,72901,,,,,,FIRST NB OF FORT SMITH,FORT SMITH,AR,1205389,0,2,342,N
2015,0000002036,1,31-4332540,VINTON COUNTY NATIONAL BANK,112 W MAIN ST PO BOX 460,MCARTHUR,OH,45651,COMMUNITY BANCSHARES INC,112 W MAIN ST PO BOX 460,MCARTHUR,OH,45651,VINTON CTY NB,MC ARTHUR,OH,840834,0,3,718,N
