Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2017,0002736291,9,2138466,"POPULAR NORTH AMERICA, INC.",SAN JUAN,PR,,8629295,0,BANCO POPULAR NORTH AMERICA,NEW YORK,NY,1129382   ,"POPULAR, INC.",SAN JUAN,PR,PUERTO RICO,2736291,2138466   ,36
2017,0003783948,9,3226762,RBC USA HOLDCO CORPORATION,NEW YORK,NY,,3837573,0,"RBC BANK (GEORGIA), NATIONAL ASSOCIATION",ATLANTA,GA,1232497   ,ROYAL BANK OF CANADA,MONTREAL,0 ,CANADA,3783948,3226762   ,13
2017,0000722777,9,3981856,"SANTANDER HOLDINGS USA, INC.",BOSTON,MA,,83094906,0,"SANTANDER BANK, NATIONAL ASSOCIATION",WILMINGTON,DE,1239254   ,"BANCO SANTANDER, S.A.",BOADILLA DEL MONTE MADRID,0 ,SPAIN,722777,3981856   ,10
2017,0000212465,9,1378434,MUFG AMERICAS HOLDINGS CORPORATION,NEW YORK,NY,,115552770,0,"MUFG UNION BANK, NATIONAL ASSOCIATION",SAN FRANCISCO,CA,2961897   ,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",TOKYO,0 ,JAPAN,212465,1378434   ,6 
2017,0003212149,9,2967509,UBS AMERICAS INC.,NEW YORK,NY,,56935844,0,UBS BANK USA,SALT LAKE CITY,UT,4795461   ,UBS GROUP AG,ZURICH,0 ,SWITZERLAND (OTHER),3212149,2967509   ,49
2017,0000451965,9,2741679,WFC HOLDINGS CORPORATION,SAN FRANCISCO,CA,,1727235000,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION",SIOUX FALLS,SD,1120754   ,WELLS FARGO & COMPANY,SAN FRANCISCO,CA,UNITED STATES,451965,2741679   ,46
2017,0000675332,9,1077120,SUNTRUST BANK HOLDING COMPANY,ORLANDO,FL,,200557635,0,SUNTRUST BANK,ATLANTA,GA,1131787   ,"SUNTRUST BANKS, INC.",ATLANTA,GA,UNITED STATES,675332,1077120   ,13
2017,0000601050,9,1056835,"CBI-KANSAS, INC.",KANSAS CITY,MO,,25529171,0,COMMERCE BANK,KANSAS CITY,MO,1049341   ,"COMMERCE BANCSHARES, INC.",KANSAS CITY,MO,UNITED STATES,601050,1056835   ,29
2017,0000501105,9,3940714,WILMINGTON TRUST CORPORATION,WILMINGTON,DE,,122631667,0,MANUFACTURERS AND TRADERS TRUST COMPANY,BUFFALO,NY,1037003   ,M&T BANK CORPORATION,BUFFALO,NY,UNITED STATES,501105,3940714   ,36
2017,0002735146,9,3838857,EVERBANK FINANCIAL CORP,JACKSONVILLE,FL,,27829056,0,"TIAA, FSB",JACKSONVILLE,FL,3792687   ,TIAA BOARD OF OVERSEERS,NEW YORK,NY,UNITED STATES,2735146,3838857   ,12
2017,0000790534,3,3369995,"BANCO POPULAR ESPANOL, S.A.",MADRID,0 ,,2947741,0,TOTALBANK,MIAMI,FL,1239254   ,"BANCO SANTANDER, S.A.",BOADILLA DEL MONTE MADRID,0 ,SPAIN,790534,3369995   ,12
2017,0000619877,9,1447385,USAA CAPITAL CORP.,SAN ANTONIO,TX,,77760914,0,USAA FEDERAL SAVINGS BANK,SAN ANTONIO,TX,1447376   ,UNITED SERVICES AUTOMOBILE ASSOCIATION,SAN ANTONIO,TX,UNITED STATES,619877,1447385   ,48
2017,0000413208,9,1020201,HSBC USA INC.,NEW YORK,NY,,197206045,0,"HSBC BANK USA, NATIONAL ASSOCIATION",MC LEAN,VA,1857108   ,HSBC HOLDINGS PLC,LONDON,0 ,ENGLAND,413208,1020201   ,51
2017,0000723112,9,2990244,FIFTH THIRD FINANCIAL CORPORATION,CINCINNATI,OH,,139776168,0,FIFTH THIRD BANK,CINCINNATI,OH,1070345   ,FIFTH THIRD BANCORP,CINCINNATI,OH,UNITED STATES,723112,2990244   ,39
2017,0000480228,9,1199769,BANA HOLDING CORPORATION,CHARLOTTE,NC,,1677490000,0,"BANK OF AMERICA, NATIONAL ASSOCIATION",CHARLOTTE,NC,1073757   ,BANK OF AMERICA CORPORATION,CHARLOTTE,NC,UNITED STATES,480228,1199769   ,37
2017,0000075633,9,1245415,BMO FINANCIAL CORP.,WILMINGTON,DE,,106169829,0,BMO HARRIS BANK NATIONAL ASSOCIATION,CHICAGO,IL,1231333   ,BANK OF MONTREAL,MONTREAL,0 ,CANADA,75633,1245415   ,17
2017,0000697633,9,1078529,"BBVA COMPASS BANCSHARES, INC.",HOUSTON,TX,,83640475,0,COMPASS BANK,BIRMINGHAM,AL,1391237   ,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BILBAO,0 ,SPAIN,697633,1078529   ,1 
2017,0000915878,9,3828045,TFS FINANCIAL CORPORATION,CLEVELAND,OH,,13155641,0,THIRD FEDERAL SAVINGS & LOAN ASSOCIATION OF CLEVELAND,CLEVELAND,OH,3828036   ,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC",CLEVELAND,OH,UNITED STATES,915878,3828045   ,39
2017,0000800657,9,1020180,BREMER FINANCIAL CORPORATION,SAINT PAUL,MN,,11496234,0,"BREMER BANK, NATIONAL ASSOCIATION",SAINT PAUL,MN,1121340   ,OTTO BREMER TRUST,SAINT PAUL,MN,UNITED STATES,800657,1020180   ,27
2017,0001015560,9,2403119,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,BEIJING,0 ,,2230603,0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",NEW YORK,NY,4097978   ,CHINA INVESTMENT CORPORATION,BEIJING,0 ,"CHINA, PEOPLES REPUBLIC OF",1015560,2403119   ,36
2017,0000063069,9,3226762,RBC USA HOLDCO CORPORATION,NEW YORK,NY,,46120923,0,CITY NATIONAL BANK,LOS ANGELES,CA,1232497   ,ROYAL BANK OF CANADA,MONTREAL,0 ,CANADA,63069,3226762   ,6 
2017,0001842065,9,5014141,CIBC HOLDCO INC.,CHICAGO,IL,,20039455,0,CIBC BANK USA,CHICAGO,IL,1231342   ,CANADIAN IMPERIAL BANK OF COMMERCE,TORONTO,0 ,CANADA,1842065,5014141   ,17
2017,0000817824,9,1469314,"PNC BANCORP, INC.",WILMINGTON,DE,,355999734,0,"PNC BANK, NATIONAL ASSOCIATION",WILMINGTON,DE,1069778   ,"PNC FINANCIAL SERVICES GROUP, INC., THE",PITTSBURGH,PA,UNITED STATES,817824,1469314   ,10
2017,0000527954,9,1020902,"FIRST NATIONAL OF NEBRASKA, INC.",OMAHA,NE,,18938350,0,FIRST NATIONAL BANK OF OMAHA,OMAHA,NE,1066209   ,LAURITZEN CORPORATION,OMAHA,NE,UNITED STATES,527954,1020902   ,31
