Activity Year, Respondent ID, Agency Code, Federal Tax ID, Respondent Name, Respondent Mailing Address, Respondent City, Respondent State, Respondent ZIP Code, Parent Name, Parent Address, Parent City, Parent State, Parent ZIP Code,LAR Count
2017,0000011286,3,59-0238640,Farmers & Merchants Bank,200 E. Washington Street,Monticello,FL,32344,,,,,,150
2017,0000033542,3,87-0489793,ROCK CANYON BANK,215 W 2230 NORTH,PROVO,UT,84604,,,,,,26
2017,0000001821,3,35-0318380,Fowler State Bank,300 E 5th St,Fowler,IN,47944,,,,,,36
2017,0000004122,5,46-0242124,Highmark Federal Credit Union,725 5th Street,Rapid City,SD,57701,,,,,,165
2017,0000058874,3,26-2218160,FIRST GREEN BANK,18251 Us Highway 441,Mount Dora,FL,32757,,,,,,122
2017,0000060060,5,35-0702986,TEACHERS CREDIT UNION,110 S MAIN ST,SOUTH BEND,IN,46601,,,,,,2124
2017,0000068452,5,95-1687284,NORTH ISLAND CREDIT UNION,5898 COPLEY DRIVE,SAN DIEGO,CA,92111,,,,,,158
2017,39-1460253,7,39-1460253,WISCONSIN MORTGAGE CORPORATION,PO BOX 942,BROOKFIELD,WI,53008-0942,"Shorewest, REALTORS",17450 W North Avenue,Brookfield,WI,53005,1338
2017,0000012781,3,39-0634490,HOMETOWN BANK,80 SHEBOYGAN ST,FOND DU LAC,WI,54935,,,,,,268
2017,0000060024,5,95-1117083,Priority One Credit Union,1631 Huntington Drive,South Pasadena,CA,91030,,,,,,1
2017,0000706164,1,94-1400676,EL DORADO SAVINGS BANK,4040 EL DORADO ROAD,PLACERVILLE,CA,95667,,,,,,654
2017,1164400002,7,22-3547567,OAK MORTGAGE,50 S 16th St.,Philadelphia,PA,19102,Republic Bank,50 S 16th Street Suite 2400,Philadelphia,PA,19102,1958
2017,0000028790,3,39-0634605,Superior Savings Bank,1130 Tower Ave,Superior,WI,54880,,,,,,134
2017,0000023521,5,04-2683316,Digital Federal Credit Union,220 Donald Lynch Boulevard,Marlborough,MA,01752,,,,,,16726
2017,0000034747,3,59-3491132,HILLSBORO BANK,509 W ALEXANDER ST,PLANT CITY,FL,33563,,,,,,111
2017,76-0762186,7,76-0762186,"TRUHOME SOLUTIONS, LLC",9601 LEGLER RD.,LENEXA,KS,66219,CommunityAmerica Credit Union,9777 Ridge Dr.,Lenexa,KS,66219,2708
2017,0000058889,3,30-0474029,ANN ARBOR STATE BANK,125 W. WILLIAM STREET,ANN ARBOR,MI,48104,"ANN ARBOR BANCORP, INC.",125 WEST WILLIAM STREET,ANN ARBOR,MI,48104,332
2017,43-1918759,7,43-1918759,"DAS Acquisition Company, LLC","12140 Woodcrest Executive Drive, Ste 150",SAINT LOUIS,MO,63141,"DAS Holdings Company, Inc.","12140 Woodcrest Executive Drive, Ste 150",SAINT LOUIS,MO,63141,11827
2017,0000014109,1,39-0669230,NATIONAL BANK OF COMMERCE,1127 TOWER AVE,SUPERIOR,WI,54880,NATCOM BANCSHARES,1127 TOWER AVE,SUPERIOR,WI,54880,544
2017,0000645317,2,14-0458765,THE ADIRONDACK TRUST COMPANY,473 BROADWAY,SARATOGA SPRINGS,NY,12866,,,,,,264
2017,0000008122,3,61-0192790,FIRST & PEOPLES BANK AND TRUST,1001 DIEDERICH BLVD,RUSSELL,KY,41169-1812,"FIRST & PEOPLES BANCSHARES,INC",1001 DIEDERICH BLVD,RUSSELL,KY,41169-1812,68
2017,0000061315,5,86-0108770,ONEAZ CREDIT UNION,2355 W PINNACLE PEAK RD,PHOENIX,AZ,85027,,,,,,2563
2017,0000018200,3,06-0322790,DIME BANK,290 SALEM TPKE,NORWICH,CT,06360,,,,,,369
2017,74-2884353,7,74-2884353,Patriot Mortgage Company,2505 E Missouri Ste 240,El Paso,TX,79903,,,,,,210
2017,27-3027124,7,27-3027124,FINANCIAL FREEDOM MORTGAGE,875 ROUTE 73 NORTH Suite F,Marlton,NJ,08053,,,,,,2314
2017,11-3616531,7,11-3616531,ACADEMY MORTGAGE CORP.,105 CONKLIN STREET,FARMINGDALE,NY,11735,,,,,,532
2017,3453209991,7,16-1074204,"Paragon Home Loans, Inc.","5010 Campuswood Dr, Ste. 205",East Syracuse,OH,13057,,,,NY,,1507
2017,26-2429669,7,26-2429669,Wolfe Financial Inc,191 H NC HIghway 42 North,Asheboro,NC,27203,,,,,,2079
2017,0000002449,1,31-0373340,MERCHANTS NATIONAL BANK,100 NORTH HIGH STREET,HILLSBORO,OH,45133,,,,,,649
2017,0000010834,1,54-0228860,Skyline National Bank,PO Box 186,Independence,VA,24348,,,,,,273
2017,0000030707,3,84-0435858,Equitable Savings & Loan Association,PO Box 1726,Sterling,CO,80751,,,,,,373
2017,7107600005,7,14-1691162,"OwnersChoice Funding, Incorporated",1021 Watervliet-Shaker Road,Albany,NY,12205,,,,,,1443
2017,0000007699,1,14-0696635,GLENS FALLS NATIONAL BANK,250 Glen Street,Glens Falls,NY,12801-9989,Arrow Financial Corporation,234 Glen Street,Glens Falls,NY,12801-9989,956
2017,0000060189,5,36-2217287,Cornerstone Credit Union,550 W. Meadows Drive,Freeport,IL,61032,,,,,,141
2017,0000062872,5,41-0429399,First Alliance Credit Union,320 Alliance Pl NE,Rochester,MN,55906,,,,,,213
2017,0000034944,3,38-3438092,COMMUNITY SHORES BANK,1030 W Norton,Muskegon,MI,49441,,,,,,139
2017,0000063250,5,73-0727707,ALLEGIANCE CREDIT UNION,4235 N MERIDIAN AVE,OKLAHOMA CITY,OK,73112,,,,,,301
2017,0000024479,5,59-0307893,City & Police FCU,8011 Philips Highway,Jacksonville,FL,32257,,,,,,3
2017,94-2229242,7,94-2229242,Alameda Mortgage Corporation,1850 Mt. Diablo Blvd. Suite 100,Walnut Creek,CA,94596,,,,,,1497
2017,0000023283,5,22-2237859,Alternatives Federal Credit Union,125 N Fulton St,Ithaca,NY,14850,,,,,,97
2017,0000063283,5,48-0570799,MERITRUST CREDIT UNION,8710 E 32ND ST NORTH,WICHITA,KS,67226,,,,,,965
